MLS No,Latitude,Longitude
ML81920229,37.277553,-121.9808654
41026417,37.9198142,-121.7236231
ML81910952,37.3420171,-121.9313914
ME224051690,38.6847493,-121.0855015
41018184,37.8249579,-122.1918517
ML81962238,37.2432411,-121.8986162
41019132,37.8437811,-122.2196194
41031158,37.8608587,-122.0737395
41018593,37.8137459,-122.2435917
ML81914064,37.325075,-121.7862149
41048993,37.7721453,-122.1382942
BA324023000,38.4774108,-122.6679614
ML81924182,37.267814,-121.9233911
ML81924798,37.2387927,-121.8879904
ML81921771,37.2316462,-121.8779634
ML81972346,37.3998028,-121.8773888
41048651,37.8804738,-122.0846716
ML81961125,37.2447707,-121.8114856
CROC23006734,36.778261,-119.4179324
41060122,37.7663089,-122.1833766
ML81956499,37.3066511,-121.9375611
41052702,37.8433622,-122.2730374
41046019,37.8459067,-122.2199176
41015941,37.7691518,-122.1721982
ML81973883,37.2275054,-121.9857224
41043789,38.0988671,-122.6192731
ME224011908,38.6696874,-121.0610597
SF423731155,37.2629425,-121.8093946
41068359,37.3306452,-121.8696847
ML81957838,37.2700214,-121.8867817
41026740,37.8510893,-122.241475
41051483,37.7710439,-122.1950124
41035442,37.83934500000001,-122.1910694
CROC23055739,37.2693184,-121.9045557
ML81921395,37.2259119,-121.8901891
ML81931264,37.3479676,-121.8540966
ML81942658,37.2380225,-121.8580178
ML81953187,36.778261,-119.4179324
41016501,37.80969049999999,-122.2956587
41028240,37.7917266,-122.2225355
ML81949363,37.286967,-121.742293
ML81963882,37.3668262,-121.823615
ME223078093,38.879819,-121.3023285
41041556,37.8013243,-122.2310548
ML81970830,37.3125377,-121.8947042
41050046,37.9113221,-122.3400291
ME223057960,38.67881089999999,-121.0440548
ML81933618,37.2231068,-121.8961519
41030840,37.8705364,-122.2484237
ME223049382,38.8389141,-121.2748886
41016244,37.7416006,-122.1788698
ME224071293,38.6703553,-121.0702775
BA322091107,38.2937874,-122.2850965
ML81937330,37.3044496,-121.8241667
41003504,37.7761258,-122.1664914
41048621,37.7496954,-122.1753837
41058980,37.8171527,-122.2062798
ML81936401,37.3342038,-121.8333846
41047137,37.7451484,-122.1253256
ME223004573,37.7817337,-122.1910323
ML81932538,37.39821,-121.86629
ML81922541,37.3904147,-122.0271891
ML81912656,37.3098126,-121.9870551
ML81958015,37.3199004,-121.9595933
ML81941398,37.3008557,-121.9335838
BA323927101,38.0255151,-122.5500984
41053228,37.7925089,-122.2543773
BA324043015,38.3149037,-122.2867574
ML81943265,37.246271,-121.809069
41024524,37.7731555,-122.2095627
ML81943003,37.2681535,-121.9167195
